Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,0,0,0,0.2,0.2,0.07,-0.2,-0.2,/en/players/c5942695/matchlogs/2017-2018/summary/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,0,0,0,0.2,0.2,0.06,+0.8,+0.8,/en/players/1c529186/matchlogs/2017-2018/summary/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,0,0,0,1.6,1.6,0.10,-1.6,-1.6,/en/players/b96b595c/matchlogs/2017-2018/summary/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,0,0,0,0.6,0.6,0.07,+0.4,+0.4,/en/players/d7403bd5/matchlogs/2017-2018/summary/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,0,15,3,20.0,1.11,0.22,0.00,0.00,0,0,0,0.6,0.6,0.04,-0.6,-0.6,/en/players/ce5b170a/matchlogs/2017-2018/summary/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,0,11,3,27.3,0.59,0.16,0.00,0.00,4,0,0,0.4,0.4,0.04,+0.6,+0.6,/en/players/06050480/matchlogs/2017-2018/summary/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,0,8,0,0.0,0.57,0.00,0.00,,0,0,0,0.7,0.7,0.09,-0.7,-0.7,/en/players/f9714604/matchlogs/2017-2018/summary/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,11,81,28,34.6,2.73,0.94,0.12,0.36,8,1,2,7.9,6.4,0.08,+3.1,+3.6,/en/players/5294a83f/matchlogs/2017-2018/summary/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,3,16,7,43.8,0.53,0.23,0.19,0.43,0,0,0,1.8,1.8,0.11,+1.2,+1.2,/en/players/4bd414c1/matchlogs/2017-2018/summary/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/7a2e46a8/matchlogs/2017-2018/summary/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,4,37,12,32.4,1.17,0.38,0.11,0.33,0,0,0,4.3,4.3,0.12,-0.3,-0.3,/en/players/cc700722/matchlogs/2017-2018/summary/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,1,9,3,33.3,3.03,1.01,0.11,0.33,1,0,0,0.4,0.4,0.04,+0.6,+0.6,/en/players/92a5ac34/matchlogs/2017-2018/summary/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,0,3,0,0.0,0.49,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,/en/players/e34fc66d/matchlogs/2017-2018/summary/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,4,25,11,44.0,1.94,0.85,0.16,0.36,1,0,0,2.1,2.1,0.09,+1.9,+1.9,/en/players/9f1893b9/matchlogs/2017-2018/summary/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/326d09ef/matchlogs/2017-2018/summary/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,0,4,1,25.0,0.20,0.05,0.00,0.00,0,0,0,0.2,0.2,0.05,-0.2,-0.2,/en/players/13d820de/matchlogs/2017-2018/summary/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,0,0,0,0.2,0.2,0.05,-0.2,-0.2,/en/players/0c971997/matchlogs/2017-2018/summary/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,1,18,6,33.3,0.87,0.29,0.06,0.17,0,0,0,0.7,0.7,0.04,+0.3,+0.3,/en/players/bbafc0c4/matchlogs/2017-2018/summary/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,0,1,1,100.0,0.15,0.15,0.00,0.00,0,0,0,0.0,0.0,0.03,0.0,0.0,/en/players/97c9bce3/matchlogs/2017-2018/summary/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,11,61,21,34.4,2.14,0.74,0.10,0.29,0,5,5,8.7,4.9,0.08,+2.3,+1.1,/en/players/43a2e16c/matchlogs/2017-2018/summary/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/40f0ed6c/matchlogs/2017-2018/summary/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,0,1,0,0.0,2.90,0.00,0.00,,0,0,0,0.5,0.5,0.50,-0.5,-0.5,/en/players/91976866/matchlogs/2017-2018/summary/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,1,5,2,40.0,1.05,0.42,0.20,0.50,0,0,0,1.1,1.1,0.22,-0.1,-0.1,/en/players/9c8f641a/matchlogs/2017-2018/summary/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,0,7,1,14.3,0.40,0.06,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,/en/players/089550f5/matchlogs/2017-2018/summary/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25.0,1,11,2,18.2,0.44,0.08,0.09,0.50,0,0,0,0.8,0.8,0.07,+0.2,+0.2,/en/players/1522dab2/matchlogs/2017-2018/summary/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,5.2,0,2,1,50.0,0.38,0.19,0.00,0.00,0,0,0,0.1,0.1,0.07,-0.1,-0.1,/en/players/23f9e9d3/matchlogs/2017-2018/summary/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,8.3,2,25,4,16.0,3.00,0.48,0.04,0.25,1,1,1,3.3,2.6,0.10,-1.3,-1.6,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,5.0,4,23,12,52.2,4.62,2.41,0.09,0.17,0,2,2,4.7,3.2,0.14,-0.7,-1.2,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,2,34,6,17.6,1.30,0.23,0.06,0.33,0,0,0,1.9,1.9,0.06,+0.1,+0.1,/en/players/e8c930bb/matchlogs/2017-2018/summary/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,0,2,1,50.0,2.25,1.13,0.00,0.00,0,0,0,0.2,0.2,0.10,-0.2,-0.2,/en/players/49d399d5/matchlogs/2017-2018/summary/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,0,16,3,18.8,1.33,0.25,0.00,0.00,1,0,0,0.7,0.7,0.04,-0.7,-0.7,/en/players/9be4ee80/matchlogs/2017-2018/summary/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,0,3,0,0.0,0.21,0.00,0.00,,0,0,0,0.3,0.3,0.11,-0.3,-0.3,/en/players/0821331c/matchlogs/2017-2018/summary/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,7,40,22,55.0,1.33,0.73,0.18,0.32,0,0,0,3.5,3.5,0.09,+3.5,+3.5,/en/players/01efac19/matchlogs/2017-2018/summary/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,2,23,8,34.8,0.68,0.24,0.09,0.25,8,0,0,1.5,1.5,0.06,+0.5,+0.5,/en/players/32ebfe1e/matchlogs/2017-2018/summary/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,6,33,8,24.2,1.01,0.24,0.09,0.38,0,3,3,3.3,1.1,0.03,+2.7,+1.9,/en/players/6928979a/matchlogs/2017-2018/summary/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,0,1,0,0.0,0.19,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,/en/players/6a189491/matchlogs/2017-2018/summary/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,21.8,1,20,6,30.0,0.92,0.27,0.05,0.17,0,0,0,1.3,1.3,0.07,-0.3,-0.3,/en/players/43a1bea5/matchlogs/2017-2018/summary/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,4.9,3,26,14,53.8,5.28,2.84,0.12,0.21,0,0,0,3.0,3.0,0.11,0.0,0.0,/en/players/e5bf73f3/matchlogs/2017-2018/summary/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,16.1,0,1,0,0.0,0.06,0.00,0.00,,0,0,0,0.0,0.0,0.05,0.0,0.0,/en/players/7c0000fd/matchlogs/2017-2018/summary/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,28.0,4,35,9,25.7,1.25,0.32,0.11,0.44,0,0,0,3.6,3.6,0.10,+0.4,+0.4,/en/players/ea06dd97/matchlogs/2017-2018/summary/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,8.6,0,9,3,33.3,1.05,0.35,0.00,0.00,0,0,0,0.6,0.6,0.07,-0.6,-0.6,/en/players/3b57f7f8/matchlogs/2017-2018/summary/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,13.2,2,30,10,33.3,2.27,0.76,0.07,0.20,0,0,0,2.8,2.8,0.09,-0.8,-0.8,/en/players/e61bdd69/matchlogs/2017-2018/summary/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,15.1,1,15,5,33.3,1.00,0.33,0.07,0.20,0,0,0,0.7,0.7,0.05,+0.3,+0.3,/en/players/ec30b9c8/matchlogs/2017-2018/summary/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,1.0,0,1,0,0.0,0.99,0.00,0.00,,0,0,0,0.0,0.0,0.04,0.0,0.0,/en/players/75b86fb3/matchlogs/2017-2018/summary/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,15.6,4,10,4,40.0,0.64,0.26,0.40,1.00,0,0,0,2.9,2.9,0.29,+1.1,+1.1,/en/players/c01c66d9/matchlogs/2017-2018/summary/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,0,0,0,0.1,0.1,0.01,-0.1,-0.1,/en/players/c67836b8/matchlogs/2017-2018/summary/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,0,0,0,0.6,0.6,0.06,+0.4,+0.4,/en/players/d3d758d8/matchlogs/2017-2018/summary/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,12.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,29.8,10,86,28,32.6,2.88,0.94,0.12,0.36,0,0,2,11.3,9.8,0.12,-1.3,+0.2,/en/players/d705ba44/matchlogs/2017-2018/summary/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
51,Ahmad Benali,ly,MF,Crotone,25,1992,9.0,1,5,3,60.0,0.55,0.33,0.20,0.33,0,0,0,1.1,1.1,0.23,-0.1,-0.1,/en/players/a128b07e/matchlogs/2017-2018/summary/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,30.9,5,75,27,36.0,2.43,0.87,0.07,0.19,0,0,0,4.9,4.9,0.07,+0.1,+0.1,/en/players/0000acda/matchlogs/2017-2018/summary/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,19.5,2,14,4,28.6,0.72,0.21,0.14,0.50,0,0,0,2.4,2.4,0.19,-0.4,-0.4,/en/players/3b15ef2d/matchlogs/2017-2018/summary/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,/en/players/3b8674e6/matchlogs/2017-2018/summary/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,25.5,4,83,23,27.7,3.25,0.90,0.02,0.09,4,2,4,8.9,5.9,0.07,-4.9,-3.9,/en/players/53a0e358/matchlogs/2017-2018/summary/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,11.6,1,16,9,56.3,1.38,0.78,0.06,0.11,0,0,0,1.2,1.2,0.07,-0.2,-0.2,/en/players/dc1c2fce/matchlogs/2017-2018/summary/Alex-Berenguer-Match-Logs
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,27.6,0,6,0,0.0,0.22,0.00,0.00,,0,0,0,0.2,0.2,0.03,-0.2,-0.2,/en/players/61b3978f/matchlogs/2017-2018/summary/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/ee833569/matchlogs/2017-2018/summary/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,9.4,4,28,10,35.7,2.98,1.06,0.14,0.40,2,0,0,3.0,3.0,0.11,+1.0,+1.0,/en/players/ee93c1a9/matchlogs/2017-2018/summary/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,32.2,1,15,2,13.3,0.47,0.06,0.07,0.50,1,0,0,1.1,1.1,0.08,-0.1,-0.1,/en/players/c75b6a02/matchlogs/2017-2018/summary/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,15.4,1,15,5,33.3,0.97,0.32,0.07,0.20,0,0,0,0.9,0.9,0.06,+0.1,+0.1,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,4.9,2,4,2,50.0,0.82,0.41,0.50,1.00,0,0,0,1.2,1.2,0.29,+0.8,+0.8,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,1.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/b3a20f18/matchlogs/2017-2018/summary/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,22.7,1,21,4,19.0,0.93,0.18,0.05,0.25,0,0,0,0.8,0.8,0.04,+0.2,+0.2,/en/players/5710a281/matchlogs/2017-2018/summary/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,3.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/a3e1d20d/matchlogs/2017-2018/summary/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,2.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/b4c3070a/matchlogs/2017-2018/summary/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,33.1,1,34,6,17.6,1.03,0.18,0.03,0.17,7,0,0,1.8,1.8,0.05,-0.8,-0.8,/en/players/9e1577aa/matchlogs/2017-2018/summary/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,20.0,0,5,0,0.0,0.25,0.00,0.00,,0,0,0,0.6,0.6,0.13,-0.6,-0.6,/en/players/64cd167d/matchlogs/2017-2018/summary/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,27.8,3,49,18,36.7,1.76,0.65,0.06,0.17,5,0,0,2.6,2.6,0.05,+0.4,+0.4,/en/players/455a2b79/matchlogs/2017-2018/summary/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/32b9b5fa/matchlogs/2017-2018/summary/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/9b7533de/matchlogs/2017-2018/summary/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,28.2,8,67,30,44.8,2.37,1.06,0.12,0.27,1,0,0,5.2,5.2,0.08,+3.8,+3.8,/en/players/d995ed27/matchlogs/2017-2018/summary/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,0.3,0,1,0,0.0,3.21,0.00,0.00,,0,0,0,0.0,0.0,0.05,0.0,0.0,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,2.0,0,8,2,25.0,4.09,1.02,0.00,0.00,0,0,0,0.5,0.5,0.06,-0.5,-0.5,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,4.5,0,1,0,0.0,0.22,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,/en/players/fb77bfef/matchlogs/2017-2018/summary/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,34.3,2,27,8,29.6,0.79,0.23,0.07,0.25,0,0,0,2.5,2.5,0.09,-0.5,-0.5,/en/players/52ec54d0/matchlogs/2017-2018/summary/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,17.9,2,36,14,38.9,2.01,0.78,0.06,0.14,0,0,0,2.2,2.2,0.06,-0.2,-0.2,/en/players/ef5b337e/matchlogs/2017-2018/summary/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,8.6,1,12,4,33.3,1.40,0.47,0.08,0.25,3,0,0,1.2,1.2,0.10,-0.2,-0.2,/en/players/a889ffc7/matchlogs/2017-2018/summary/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,1.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/d49f3e6b/matchlogs/2017-2018/summary/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,15.0,3,33,9,27.3,2.20,0.60,0.09,0.33,0,0,0,2.7,2.7,0.08,+0.3,+0.3,/en/players/d0643f8f/matchlogs/2017-2018/summary/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,1,1,1,100.0,0.08,0.08,1.00,1.00,0,0,0,0.1,0.1,0.09,+0.9,+0.9,/en/players/6989550f/matchlogs/2017-2018/summary/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,2.6,0,3,1,33.3,1.16,0.39,0.00,0.00,0,0,0,0.1,0.1,0.05,-0.1,-0.1,/en/players/4590c6e7/matchlogs/2017-2018/summary/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,21.4,4,47,16,34.0,2.20,0.75,0.09,0.25,4,0,0,2.4,2.4,0.05,+1.6,+1.6,/en/players/33b8d077/matchlogs/2017-2018/summary/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,18.8,0,9,2,22.2,0.48,0.11,0.00,0.00,0,0,0,0.2,0.2,0.02,-0.2,-0.2,/en/players/2edeb221/matchlogs/2017-2018/summary/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,17.6,6,32,18,56.3,1.81,1.02,0.19,0.33,0,0,0,5.8,5.8,0.18,+0.2,+0.2,/en/players/8f3565b3/matchlogs/2017-2018/summary/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/e40d028b/matchlogs/2017-2018/summary/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/4ae67f27/matchlogs/2017-2018/summary/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,23.0,0,10,1,10.0,0.43,0.04,0.00,0.00,0,0,0,1.0,1.0,0.10,-1.0,-1.0,/en/players/9417f322/matchlogs/2017-2018/summary/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,4.1,0,2,0,0.0,0.49,0.00,0.00,,0,0,0,0.2,0.2,0.10,-0.2,-0.2,/en/players/69cbc8b6/matchlogs/2017-2018/summary/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,31.9,2,24,10,41.7,0.75,0.31,0.08,0.20,0,0,0,1.1,1.1,0.05,+0.9,+0.9,/en/players/00b0bb87/matchlogs/2017-2018/summary/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,12.9,3,16,5,31.3,1.24,0.39,0.19,0.60,0,0,0,2.2,2.2,0.15,+0.8,+0.8,/en/players/e94d79e3/matchlogs/2017-2018/summary/Martin-Caceres-Match-Logs
