Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,4,0,0,0,0,2.0,0.18,-2.0,-0.66,11,32,34.4,32,8,45.1,37.0,32,45.1,37.0,38,2,5.3,4,1.29,16.3,/en/players/95adf1e1/matchlogs/2019-2020/keeper/Enrico-Alfonso-Match-Logs
2,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,16,0,1,1,0,12.9,0.29,-3.1,-0.53,33,66,50.0,66,45,33.0,35.4,66,33.0,35.4,56,1,1.8,2,0.34,12.4,/en/players/fe471a89/matchlogs/2019-2020/keeper/Lorenzo-Andrenacci-Match-Logs
3,Emil Audero,it,GK,Sampdoria,22,1997,36.0,60,7,0,11,4,52.8,0.29,-3.2,-0.09,203,558,36.4,558,130,50.1,41.5,558,50.1,41.5,399,32,8.0,19,0.53,14.2,/en/players/649b01d8/matchlogs/2019-2020/keeper/Emil-Audero-Match-Logs
4,Asmir Begović,ba,GK,Milan,32,1987,1.4,3,1,0,0,0,3.1,0.39,+0.1,+0.06,4,11,36.4,11,5,33.3,32.8,11,33.3,32.8,8,0,0.0,0,0.00,15.5,/en/players/7b4de647/matchlogs/2019-2020/keeper/Asmir-Begovic-Match-Logs
5,Etrit Berisha,al,GK,SPAL,30,1989,26.0,41,6,1,2,2,44.2,0.28,+2.2,+0.09,196,440,44.5,440,136,46.0,37.4,440,46.0,37.4,276,21,7.6,14,0.54,13.6,/en/players/ee833569/matchlogs/2019-2020/keeper/Etrit-Berisha-Match-Logs
6,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,0.0,27.5,1,0.0,27.5,0,0,,0,0.00,21.0,/en/players/d4890c25/matchlogs/2019-2020/keeper/Federico-Brancolini-Match-Logs
7,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,10,1,0,2,0,7.7,0.21,-2.3,-0.26,22,38,57.9,38,40,17.8,27.4,38,17.8,27.4,76,1,1.3,7,0.78,16.4,/en/players/e40d028b/matchlogs/2019-2020/keeper/Gianluigi-Buffon-Match-Logs
8,Simone Colombi,it,GK,Parma,28,1991,4.0,4,1,0,0,0,4.1,0.20,+0.1,+0.03,11,24,45.8,24,16,27.1,31.1,24,27.1,31.1,33,2,6.1,0,0.00,11.7,/en/players/72be9309/matchlogs/2019-2020/keeper/Simone-Colombi-Match-Logs
9,Andrea Consigli,it,GK,Sassuolo,32,1987,31.0,55,7,1,9,3,49.9,0.32,-2.1,-0.07,141,339,41.6,339,136,34.2,32.7,339,34.2,32.7,292,25,8.6,20,0.65,14.9,/en/players/8cabdc1e/matchlogs/2019-2020/keeper/Andrea-Consigli-Match-Logs
10,Angelo da Costa Júnior,br,GK,Bologna,35,1983,1.0,1,0,0,0,0,0.9,0.46,-0.1,-0.08,2,4,50.0,4,4,16.7,28.1,4,16.7,28.1,3,0,0.0,1,1.00,18.8,/en/players/18736214/matchlogs/2019-2020/keeper/Angelo-da-Costa-Junior-Match-Logs
11,Alessio Cragno,it,GK,Cagliari,25,1994,16.0,21,1,0,2,1,23.9,0.26,+3.9,+0.24,87,251,34.7,251,67,51.6,40.7,251,51.6,40.7,176,14,8.0,5,0.31,11.5,/en/players/f554e29b/matchlogs/2019-2020/keeper/Alessio-Cragno-Match-Logs
12,Gianluigi Donnarumma,it,GK,Milan,20,1999,35.6,42,4,0,7,1,45.8,0.29,+4.8,+0.14,221,469,47.1,469,172,38.4,34.4,469,38.4,34.4,307,29,9.4,20,0.56,14.7,/en/players/08f5afaa/matchlogs/2019-2020/keeper/Gianluigi-Donnarumma-Match-Logs
13,Bartłomiej Drągowski,pl,GK,Fiorentina,21,1997,31.0,43,6,2,6,0,43.1,0.29,+0.1,0.00,138,380,36.3,380,195,39.9,37.0,380,39.9,37.0,285,19,6.7,14,0.45,12.6,/en/players/085e71a7/matchlogs/2019-2020/keeper/Bartlomiej-Dragowski-Match-Logs
14,Wladimiro Falcone,it,GK,Sampdoria,24,1995,2.0,5,1,0,0,0,5.6,0.35,+0.6,+0.29,8,29,27.6,29,11,39.5,32.6,29,39.5,32.6,15,0,0.0,1,0.50,13.8,/en/players/9f5a610b/matchlogs/2019-2020/keeper/Wladimiro-Falcone-Match-Logs
15,Daniel Fuzato,br,GK,Roma,22,1997,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.14,4,16,25.0,16,4,35.3,35.0,16,35.3,35.0,8,1,12.5,0,0.00,10.2,/en/players/82328faf/matchlogs/2019-2020/keeper/Daniel-Fuzato-Match-Logs
16,Gabriel,br,GK,Lecce,26,1992,33.3,76,10,1,12,3,80.7,0.34,+7.7,+0.23,147,354,41.5,354,194,36.1,34.9,354,36.1,34.9,382,21,5.5,12,0.36,13.6,/en/players/f93ed0df/matchlogs/2019-2020/keeper/Gabriel-Match-Logs
17,Pierluigi Gollini,it,GK,Atalanta,24,1995,32.0,42,6,2,4,3,34.6,0.27,-4.4,-0.14,188,422,44.5,422,171,37.1,37.0,422,37.1,37.0,207,15,7.2,37,1.15,15.7,/en/players/f0f7f62f/matchlogs/2019-2020/keeper/Pierluigi-Gollini-Match-Logs
18,Samir Handanović,si,GK,Inter,35,1984,35.0,32,2,0,4,1,32.5,0.28,+1.5,+0.04,148,284,52.1,284,187,24.2,29.4,284,24.2,29.4,333,21,6.3,12,0.34,12.0,/en/players/74419746/matchlogs/2019-2020/keeper/Samir-Handanovic-Match-Logs
19,Jesse Joronen,fi,GK,Brescia,26,1993,29.0,59,9,0,9,3,60.9,0.31,+4.9,+0.17,162,423,38.3,423,160,49.7,41.5,423,49.7,41.5,355,27,7.6,10,0.34,13.0,/en/players/7f66ea09/matchlogs/2019-2020/keeper/Jesse-Joronen-Match-Logs
20,Karlo Letica,hr,GK,SPAL,22,1997,10.0,29,0,2,1,1,22.6,0.33,-5.4,-0.54,64,174,36.8,174,53,50.0,40.6,174,50.0,40.6,103,7,6.8,1,0.10,11.7,/en/players/4a6914ff/matchlogs/2019-2020/keeper/Karlo-Letica-Match-Logs
21,Pau López,es,GK,Roma,24,1994,32.0,45,8,1,4,0,42.7,0.29,-2.3,-0.07,175,373,46.9,373,179,34.8,33.6,373,34.8,33.6,238,15,6.3,24,0.75,14.9,/en/players/20b9f052/matchlogs/2019-2020/keeper/Pau-Lopez-Match-Logs
22,Alex Meret,it,GK,Napoli,22,1997,21.7,33,5,0,3,1,27.6,0.29,-4.4,-0.20,49,133,36.8,133,85,23.7,28.1,133,23.7,28.1,153,8,5.2,6,0.28,12.1,/en/players/9413b19f/matchlogs/2019-2020/keeper/Alex-Meret-Match-Logs
23,Antonio Mirante,it,GK,Roma,36,1983,5.0,5,1,0,0,0,5.7,0.25,+0.7,+0.15,26,56,46.4,56,31,35.0,32.8,56,35.0,32.8,50,4,8.0,4,0.80,13.3,/en/players/30223b33/matchlogs/2019-2020/keeper/Antonio-Mirante-Match-Logs
24,Juan Musso,ar,GK,Udinese,25,1994,38.0,51,8,2,6,0,53.8,0.25,+2.8,+0.07,218,491,44.4,491,171,40.9,36.3,491,40.9,36.3,364,38,10.4,15,0.39,12.2,/en/players/a111cf41/matchlogs/2019-2020/keeper/Juan-Musso-Match-Logs
25,Robin Olsen,se,GK,Cagliari,29,1990,16.9,24,4,0,1,2,22.1,0.23,+0.1,0.00,105,278,37.8,278,62,55.4,45.1,278,55.4,45.1,201,12,6.0,4,0.24,11.2,/en/players/e7ee38c3/matchlogs/2019-2020/keeper/Robin-Olsen-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,David Ospina,co,GK,Napoli,30,1988,16.3,17,2,1,2,0,18.1,0.31,+1.1,+0.06,54,109,49.5,109,58,23.5,28.3,109,23.5,28.3,127,11,8.7,9,0.55,14.0,/en/players/82b1198a/matchlogs/2019-2020/keeper/David-Ospina-Match-Logs
27,Daniele Padelli,it,GK,Inter,33,1985,3.0,4,1,0,2,0,3.1,0.38,-0.9,-0.29,10,24,41.7,24,14,26.9,32.0,24,26.9,32.0,36,1,2.8,0,0.00,9.3,/en/players/cf1c23d8/matchlogs/2019-2020/keeper/Daniele-Padelli-Match-Logs
28,Gianluca Pegolo,it,GK,Sassuolo,38,1981,5.0,4,0,0,0,1,6.0,0.23,+3.0,+0.60,15,39,38.5,39,24,24.6,27.0,39,24.6,27.0,37,1,2.7,1,0.20,11.4,/en/players/f058ed1f/matchlogs/2019-2020/keeper/Gianluca-Pegolo-Match-Logs
29,Mattia Perin,it,GK,Genoa,26,1992,21.0,38,1,1,4,1,37.1,0.37,+0.1,0.00,146,408,35.8,408,93,56.8,44.6,408,56.8,44.6,213,11,5.2,8,0.38,12.3,/en/players/4c62d0c8/matchlogs/2019-2020/keeper/Mattia-Perin-Match-Logs
30,Carlo Pinsoglio,it,GK,Juventus,29,1990,0.2,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,0.0,21.0,1,0.0,21.0,0,0,,0,0.00,,/en/players/f6a06749/matchlogs/2019-2020/keeper/Carlo-Pinsoglio-Match-Logs
31,Ionuț Radu,ro,GK,Genoa,22,1997,17.0,35,6,2,4,1,31.7,0.30,-2.3,-0.14,89,206,43.2,206,85,35.0,34.2,206,35.0,34.2,179,9,5.0,4,0.24,11.5,/en/players/67f649be/matchlogs/2019-2020/keeper/Ionut-Radu-Match-Logs
32,Boris Radunović,rs,GK,Hellas Verona,23,1996,3.0,8,2,1,3,0,6.8,0.38,-1.2,-0.41,14,37,37.8,37,10,51.1,40.7,37,51.1,40.7,14,1,7.1,0,0.00,13.9,/en/players/0dfce079/matchlogs/2019-2020/keeper/Boris-Radunovic-Match-Logs
33,Rafael,br,GK,Cagliari,37,1982,5.0,11,2,0,0,0,9.4,0.50,-1.6,-0.33,35,79,44.3,79,16,58.5,41.8,79,58.5,41.8,70,5,7.1,2,0.40,12.0,/en/players/dd06d56c/matchlogs/2019-2020/keeper/Rafael-Match-Logs
34,Pepe Reina,es,GK,Milan,36,1982,1.0,1,0,1,0,0,1.6,0.18,+0.6,+0.57,11,21,52.4,21,6,53.3,39.7,21,53.3,39.7,11,2,18.2,2,2.00,19.6,/en/players/e358587b/matchlogs/2019-2020/keeper/Pepe-Reina-Match-Logs
35,Antonio Rosati,it,GK,Torino,36,1983,1.0,1,0,0,0,0,0.8,0.15,-0.2,-0.25,12,21,57.1,21,6,50.0,32.7,21,50.0,32.7,7,0,0.0,0,0.00,10.0,/en/players/28a15394/matchlogs/2019-2020/keeper/Antonio-Rosati-Match-Logs
36,Francesco Rossi,it,GK,Atalanta,28,1991,0.1,1,0,0,0,0,0.8,0.79,-0.2,-1.76,1,1,100.0,1,1,33.3,26.7,1,33.3,26.7,0,0,,0,0.00,15.0,/en/players/7b5f516f/matchlogs/2019-2020/keeper/Francesco-Rossi-Match-Logs
37,Luigi Sepe,it,GK,Parma,28,1991,34.0,53,6,1,10,0,53.9,0.26,+0.9,+0.03,276,562,49.1,562,114,51.2,41.6,562,51.2,41.6,391,12,3.1,8,0.24,13.0,/en/players/343f753a/matchlogs/2019-2020/keeper/Luigi-Sepe-Match-Logs
38,Marco Silvestri,it,GK,Hellas Verona,28,1991,35.0,43,7,1,7,1,42.2,0.25,+0.2,0.00,193,718,26.9,718,78,66.3,48.1,718,66.3,48.1,367,17,4.6,9,0.26,12.0,/en/players/0d422df7/matchlogs/2019-2020/keeper/Marco-Silvestri-Match-Logs
39,Salvatore Sirigu,it,GK,Torino,32,1987,36.0,64,9,3,9,3,65.0,0.31,+4.0,+0.11,292,610,47.9,610,113,48.1,40.0,610,48.1,40.0,378,25,6.6,14,0.39,13.3,/en/players/10dc46f0/matchlogs/2019-2020/keeper/Salvatore-Sirigu-Match-Logs
40,Łukasz Skorupski,pl,GK,Bologna,28,1991,37.0,64,6,2,6,1,57.0,0.29,-6.0,-0.16,197,445,44.3,445,216,37.7,35.3,445,37.7,35.3,320,46,14.4,15,0.41,12.9,/en/players/ab4449d6/matchlogs/2019-2020/keeper/Lukasz-Skorupski-Match-Logs
41,Marco Sportiello,it,GK,Atalanta,27,1992,5.8,5,0,0,0,0,4.6,0.24,-0.4,-0.06,11,32,34.4,32,30,17.6,27.7,32,17.6,27.7,31,4,12.9,7,1.20,19.3,/en/players/ac4003af/matchlogs/2019-2020/keeper/Marco-Sportiello-Match-Logs
42,Thomas Strakosha,al,GK,Lazio,24,1995,38.0,42,7,1,8,1,45.3,0.27,+4.3,+0.11,202,453,44.6,453,149,40.7,34.5,453,40.7,34.5,282,15,5.3,17,0.45,13.9,/en/players/339fe0e8/matchlogs/2019-2020/keeper/Thomas-Strakosha-Match-Logs
43,Wojciech Szczęsny,pl,GK,Juventus,29,1990,28.8,33,8,1,4,0,34.6,0.22,+1.6,+0.06,108,200,54.0,200,157,28.5,32.5,200,28.5,32.5,219,11,5.0,22,0.76,15.0,/en/players/01b8a2b2/matchlogs/2019-2020/keeper/Wojciech-Szczesny-Match-Logs
44,Pietro Terracciano,it,GK,Fiorentina,29,1990,6.9,5,3,0,0,0,6.1,0.19,+1.1,+0.16,27,91,29.7,91,36,45.0,39.0,91,45.0,39.0,86,6,7.0,5,0.72,13.2,/en/players/e1b0a70d/matchlogs/2019-2020/keeper/Pietro-Terracciano-Match-Logs
45,Demba Thiam,sn,GK,SPAL,21,1998,2.0,4,1,0,2,0,3.7,0.20,-0.3,-0.14,10,25,40.0,25,13,36.4,36.1,25,36.4,36.1,19,1,5.3,1,0.50,15.2,/en/players/0f47717b/matchlogs/2019-2020/keeper/Demba-Thiam-Match-Logs
46,Stefano Turati,it,GK,Sassuolo,,,2.0,4,1,0,0,0,3.8,0.26,-0.2,-0.08,4,12,33.3,12,9,24.3,26.9,12,24.3,26.9,20,2,10.0,2,1.00,18.2,/en/players/bf168004/matchlogs/2019-2020/keeper/Stefano-Turati-Match-Logs
47,Samir Ujkani,xk,GK,Torino,31,1988,1.0,3,1,0,1,0,2.7,0.35,-0.3,-0.31,8,14,57.1,14,2,30.2,33.4,14,30.2,33.4,9,0,0.0,1,1.00,18.0,/en/players/96640846/matchlogs/2019-2020/keeper/Samir-Ujkani-Match-Logs
48,Mauro Vigorito,it,GK,Lecce,29,1990,4.7,9,1,0,1,0,9.5,0.34,+0.5,+0.11,24,64,37.5,64,27,43.3,36.3,64,43.3,36.3,61,4,6.6,1,0.21,11.6,/en/players/582a251c/matchlogs/2019-2020/keeper/Mauro-Vigorito-Match-Logs
